"Bill of Material for "
"On 1/19/2017 at 1:22:10 PM"

"Comment","Pattern","Quantity","Components"

"10","R0603","2","R11, R12","R"
"100n","C0603","8","C1, C2, C3, C4, C5, C13, C14, C17","Capacitor"
"10k","R0603","1","R3","R"
"10p","C0603","1","C6","Capacitor"
"10u","C Tantal B","2","C8, C9","Capacitor Polarized"
"110k","R0603","1","R1","R"
"11k","R0603","1","R5","R"
"120","R0603","1","R10","R"
"120","R0805","5","R9, R13, R14, R17, R18","R"
"150060RS75000","LED_0603_Red","1","LED2","SMD mono-color Chip LED, WL-SMCW, Red"
"150060VS75000","LED_0603_Bright Green","1","LED3","SMD mono-color Chip LED, WL-SMCW, Bright Green"
"150060YS75000","LED_0603_Yellow","1","LED1","SMD mono-color Chip LED, WL-SMCW, Yellow"
"150p","C0603","1","C12","Capacitor"
"158k","R0603","1","R2","R"
"1k","R0603","2","R4, R6","R"
"2.2u","C Tantal B","2","C10, C11","Capacitor Polarized"
"200k","Bourns_3266W","1","P1","POTENTIOMETER"
"2u2","C0603","3","C15, C16, C18","Capacitor"
"4.87k","R0603","2","R7, R8","R"
"4k7","R0805","2","R15, R16","R"
"4u7","C Tantal A","1","C7","Capacitor Polarized"
"BSN20,215","NXP-SOT23_N","2","Q1, Q2","N-Channel Enhancement Mode Field-Effect Transistor, 50 V, 0.173 A, 3-Pin SOT23, Tape and Reel"
"CON_2pin_5mm","CON_2pin_5mm","1","CON1","Konektor za  Bernic ohišja Serija 605, 5 mm raster"
"DSUbConector","DSUB conector","1","CON3",""
"JTAG","JTAG micromatch","1","CON2",""
"LM1117","SOT230P700X180-4N","1","IC4",""
"LM4132BMF-4.1","SOT95P280X145-5N","1","IC3","Precision Low Dropout Voltage Reference, 5-pin SOT-23"
"OPA4192IPW onepack","OPA4192","1","IC1",""
"PUSA","PUSA","3","GND, PIN1, PIN2",""
"SN65HVD73D","D14_N","1","IC6","High Output Full-Duplex RS-485 Driver and Receiver, 1 Mbps, 5 V, -40 to 85 degC, 14-pin SOIC (D), Green (RoHS & no Sb/Br)"
"TLV5618ACD","TLV5618ACD","1","IC2",""
"TMA 0515D","TMA 0515D","1","IC5",""
"TMS320F28027_DA_","TSOP65P810X120-38N","1","IC7","Imported"
"WE-PD2, 74477530","WE-PD2_7850","1","L1","WE-PD2 SMD Power Inductor, size 7850, 1000uH"
